ID,SMILES,Fluorescence480,Fluorescence340_450,Transmittance450,Transmittance340
1685,CC(C)Cn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(SCC(N)=O)nnc12,0,0,0,0
7489,CO[C@@H]1CCOC[C@H]1NC(=O)c1[nH]c2ccccc2c1Cl,0,1,0,0
13712,Cc1cccc(NS(=O)(=O)c2cccc3cccnc23)c1,0,0,0,0
25450,COc1ccc(S(=O)(=O)N2CCN(c3ccc(=O)n(-c4ccc(C)cc4)n3)CC2)cc1OC,0,1,0,0
30765,COCCn1ncc(N2CCC(C(=O)NCc3ccc(F)cc3)C2)cc1=O,0,0,0,0
32858,COc1ccc(C2(C(=O)N3CC4(C3)CC(C)(O)CO4)CC2)cc1,0,0,0,0
46684,COc1cccc2c(C(=O)N3CCCO[C@@H](CF)C3)n[nH]c12,0,1,0,0
61197,C[C@H](NC(=O)C1CCN(S(C)(=O)=O)CC1)c1ccc2c(c1)OCCCO2,0,0,0,0
75327,COc1ccc(OC)c(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)c1,0,1,0,0
82419,CC(C)Oc1ccc(C(=O)NC[C@@H](c2cccs2)N(C)C)cn1,0,0,0,0
